H,Aqua
He,Aquamarine
Li,Firebrick
Be,Indigo
B,Black
C,Blue
N,BlueViolet
O,Brown
F,CadetBlue
Ne,Chocolate
Na,Coral
Mg,CornflowerBlue
Al,Crimson
Si,DarkGreen
P,DarkBlue
S,DarkCyan
Cl,DarkGoldenrod
Ar,DarkGray
K,DarkGreen
Ca,Firebrick
Sc,DarkOliveGreen
Ti,DarkOrange
V,DarkOrchid
Cr,DarkRed
Mn,DarkSalmon
Fe,DarkSeaGreen
Co,DarkSlateBlue
Ni,DarkTurquoise
Cu,DarkViolet
Zn,DeepPink
Ga,DeepSkyBlue
Ge,DimGray
As,DodgerBlue
Se,Firebrick
Br,ForestGreen
Kr,Fuchsia
Rb,Gold
Sr,Goldenrod
Y,Gray
Zr,Green
Nb,HotPink
Mo,IndianRed
Tc,Indigo
Ru,LightCoral
Rh,LightSeaGreen
Pd,LightSkyBlue
Ag,LightSlateGray
Cd,LightSteelBlue
In,LimeGreen
Sn,Magenta
Sb,Maroon
Te,MediumAquamarine
I,MediumBlue
Xe,MediumOrchid
Cs,MediumPurple
Ba,MediumSeaGreen
La,MediumSlateBlue
Ce,MediumSpringGreen
Pr,MediumTurquoise
Nd,MediumVioletRed
Pm,MidnightBlue
Sm,Navy
Eu,Olive
Gd,OliveDrab
Tb,Orange
Dy,OrangeRed
Ho,Orchid
Er,PaleGreen
Tm,PaleVioletRed
Yb,Peru
Lu,Plum
Hf,Purple
Ta,Red
W,RosyBrown
Re,RoyalBlue
Os,SaddleBrown
Ir,Salmon
Pt,SandyBrown
Au,SeaGreen
Hg,Sienna
Tl,Silver
Pb,SkyBlue
Bi,SlateBlue
Po,SlateGray
At,SpringGreen
Rn,SteelBlue
Fr,Tan
Ra,Teal
Ac,Tomato
Th,Turquoise
Pa,Violet
U,YellowGreen
